,criterion,max_depth,max_features,min_impurity_decrease,n_estimators,Accuracy
681,entropy,10.0,,4.0,1000,0.5841194968553458
682,entropy,10.0,,5.0,1,0.5841194968553458
683,entropy,10.0,,5.0,10,0.5841194968553458
684,entropy,10.0,,5.0,100,0.5841194968553458
685,entropy,10.0,,5.0,1000,0.5841194968553458
686,gini,3.0,log2,1.0,100,0.5841194968553458
687,gini,3.0,log2,1.0,10,0.5841194968553458
688,entropy,3.0,1,4.0,1000,0.5841194968553458
689,entropy,3.0,1,2.0,1000,0.5841194968553458
690,entropy,3.0,1,4.0,10,0.5841194968553458
691,gini,5.0,10,3.0,1,0.5841194968553458
692,gini,5.0,1,5.0,1000,0.5841194968553458
693,gini,4.0,sqrt,5.0,1,0.5841194968553458
694,gini,4.0,sqrt,4.0,1000,0.5841194968553458
695,gini,4.0,sqrt,4.0,100,0.5841194968553458
696,gini,4.0,sqrt,4.0,10,0.5841194968553458
697,gini,5.0,10,1.0,1,0.5841194968553458
698,gini,5.0,10,1.0,10,0.5841194968553458
699,gini,5.0,10,1.0,100,0.5841194968553458
700,gini,5.0,10,1.0,1000,0.5841194968553458
701,gini,5.0,10,2.0,1,0.5841194968553458
702,gini,5.0,10,2.0,10,0.5841194968553458
703,gini,5.0,10,2.0,100,0.5841194968553458
704,gini,5.0,10,2.0,1000,0.5841194968553458
705,gini,5.0,10,3.0,10,0.5841194968553458
706,gini,5.0,1,5.0,10,0.5841194968553458
707,gini,5.0,10,3.0,100,0.5841194968553458
708,gini,5.0,10,3.0,1000,0.5841194968553458
709,gini,5.0,10,4.0,1,0.5841194968553458
710,gini,5.0,10,4.0,10,0.5841194968553458
711,gini,5.0,10,4.0,100,0.5841194968553458
712,gini,5.0,10,4.0,1000,0.5841194968553458
713,gini,5.0,10,5.0,1,0.5841194968553458
714,gini,5.0,10,5.0,10,0.5841194968553458
715,gini,5.0,10,5.0,100,0.5841194968553458
716,gini,5.0,10,5.0,1000,0.5841194968553458
717,gini,4.0,sqrt,4.0,1,0.5841194968553458
718,gini,4.0,sqrt,3.0,1000,0.5841194968553458
719,gini,4.0,sqrt,3.0,100,0.5841194968553458
720,gini,5.0,1,5.0,100,0.5841194968553458
721,gini,5.0,1,5.0,1,0.5841194968553458
722,gini,10.0,sqrt,1.0,1,0.5841194968553458
723,gini,5.0,1,1.0,1,0.5841194968553458
724,gini,5.0,,3.0,100,0.5841194968553458
