,C,coef0,decision_function_shape,gamma,kernel,Accuracy
197,7.0,3.0,ovo,0.1,linear,0.7733665269042628
198,1.0,2.0,ovr,0.001,linear,0.7733665269042628
199,7.0,3.0,ovo,0.01,linear,0.7733665269042628
200,8.0,3.0,ovr,0.5,linear,0.7733665269042628
201,1.0,0.0,ovo,0.01,linear,0.7733665269042628
202,8.0,3.0,ovr,1.0,linear,0.7733665269042628
203,1.0,2.0,ovr,0.01,linear,0.7733665269042628
204,8.0,3.0,ovr,3.0,linear,0.7733665269042628
205,1.0,2.0,ovr,0.1,linear,0.7733665269042628
206,7.0,3.0,ovr,1.0,linear,0.7733665269042628
207,1.0,2.0,ovo,1.0,linear,0.7733665269042628
208,8.0,0.0,ovo,3.0,linear,0.7733665269042628
209,1.0,0.0,ovo,1.0,linear,0.7733665269042628
210,8.0,3.0,ovo,3.0,linear,0.7733665269042628
211,8.0,0.0,ovo,0.1,linear,0.7733665269042628
212,1.0,2.0,ovo,0.01,linear,0.7733665269042628
213,8.0,3.0,ovo,1.0,linear,0.7733665269042628
214,8.0,3.0,ovr,0.001,linear,0.7733665269042628
215,8.0,0.0,ovo,1.0,linear,0.7733665269042628
216,1.0,1.0,ovr,3.0,linear,0.7733665269042628
217,8.0,0.0,ovo,0.001,linear,0.7733665269042628
218,1.0,2.0,ovo,0.1,linear,0.7733665269042628
219,8.0,0.0,ovr,0.001,linear,0.7733665269042628
220,1.0,0.0,ovo,0.5,linear,0.7733665269042628
221,8.0,0.0,ovo,0.5,linear,0.7733665269042628
222,8.0,0.0,ovo,0.01,linear,0.7733665269042628
223,1.0,2.0,ovo,0.001,linear,0.7733665269042628
224,2.0,2.0,ovo,0.001,poly,0.7733228511530399
225,5.0,0.0,ovr,0.01,rbf,0.7733228511530399
226,4.0,1.0,ovo,0.001,poly,0.7733228511530399
227,5.0,1.0,ovo,0.001,poly,0.7733228511530399
228,5.0,1.0,ovo,0.01,rbf,0.7733228511530399
229,3.0,3.0,ovr,0.001,poly,0.7733228511530399
230,2.0,1.0,ovr,0.01,poly,0.7733228511530399
231,3.0,0.0,ovr,0.01,sigmoid,0.7733228511530399
232,8.0,2.0,ovo,0.001,rbf,0.7733228511530399
233,5.0,1.0,ovr,0.01,rbf,0.7733228511530399
234,5.0,0.0,ovo,0.01,rbf,0.7733228511530399
235,2.0,2.0,ovr,0.001,poly,0.7733228511530399
236,8.0,2.0,ovo,0.001,poly,0.7733228511530399
237,2.0,3.0,ovo,0.001,poly,0.7733228511530399
238,2.0,3.0,ovr,0.001,poly,0.7733228511530399
239,4.0,1.0,ovr,0.001,poly,0.7733228511530399
240,4.0,0.0,ovr,0.01,sigmoid,0.7733228511530399
241,3.0,2.0,ovr,0.001,poly,0.7733228511530399
242,3.0,0.0,ovo,0.01,sigmoid,0.7733228511530399
243,8.0,3.0,ovr,0.001,rbf,0.7733228511530399
244,4.0,2.0,ovo,0.001,poly,0.7733228511530399
245,3.0,2.0,ovo,0.001,poly,0.7733228511530399
246,4.0,0.0,ovo,0.01,sigmoid,0.7733228511530399
247,4.0,2.0,ovr,0.001,poly,0.7733228511530399
248,4.0,3.0,ovo,0.001,poly,0.7733228511530399
249,8.0,3.0,ovo,0.001,rbf,0.7733228511530399
250,3.0,3.0,ovo,0.001,poly,0.7733228511530399
251,8.0,2.0,ovr,0.001,rbf,0.7733228511530399
252,8.0,2.0,ovr,0.001,poly,0.7733228511530399
253,4.0,3.0,ovr,0.001,poly,0.7733228511530399
254,5.0,2.0,ovo,0.001,poly,0.7733228511530399
255,5.0,1.0,ovr,0.001,poly,0.7733228511530399
256,6.0,3.0,ovr,0.001,poly,0.7733228511530399
257,8.0,0.0,ovr,0.001,rbf,0.7733228511530399
258,5.0,2.0,ovr,0.01,rbf,0.7733228511530399
259,8.0,1.0,ovo,0.001,poly,0.7733228511530399
260,8.0,1.0,ovo,0.001,rbf,0.7733228511530399
261,7.0,0.0,ovo,0.001,rbf,0.7733228511530399
262,5.0,2.0,ovo,0.01,rbf,0.7733228511530399
263,6.0,3.0,ovo,0.001,poly,0.7733228511530399
264,6.0,2.0,ovr,0.001,poly,0.7733228511530399
265,5.0,3.0,ovo,0.001,poly,0.7733228511530399
266,6.0,2.0,ovo,0.001,poly,0.7733228511530399
267,8.0,1.0,ovr,0.001,poly,0.7733228511530399
268,6.0,1.0,ovr,0.001,poly,0.7733228511530399
269,5.0,3.0,ovo,0.01,rbf,0.7733228511530399
270,8.0,1.0,ovr,0.001,rbf,0.7733228511530399
271,6.0,1.0,ovo,0.001,poly,0.7733228511530399
272,5.0,3.0,ovr,0.001,poly,0.7733228511530399
273,2.0,0.0,ovr,0.01,sigmoid,0.7733228511530399
274,5.0,3.0,ovr,0.01,rbf,0.7733228511530399
275,7.0,0.0,ovr,0.001,rbf,0.7733228511530399
276,2.0,0.0,ovo,0.01,sigmoid,0.7733228511530399
277,2.0,1.0,ovo,0.01,poly,0.7733228511530399
278,7.0,1.0,ovr,0.001,poly,0.7733228511530399
279,7.0,3.0,ovo,0.001,poly,0.7733228511530399
280,1.0,2.0,ovr,0.01,poly,0.7733228511530399
281,7.0,2.0,ovr,0.001,rbf,0.7733228511530399
282,7.0,2.0,ovr,0.001,poly,0.7733228511530399
283,7.0,3.0,ovo,0.001,rbf,0.7733228511530399
284,1.0,3.0,ovo,0.001,poly,0.7733228511530399
285,7.0,3.0,ovr,0.001,poly,0.7733228511530399
286,7.0,2.0,ovo,0.001,rbf,0.7733228511530399
287,7.0,1.0,ovo,0.001,poly,0.7733228511530399
288,7.0,3.0,ovr,0.001,rbf,0.7733228511530399
289,7.0,1.0,ovr,0.001,rbf,0.7733228511530399
290,5.0,2.0,ovr,0.001,poly,0.7733228511530399
291,7.0,2.0,ovo,0.001,poly,0.7733228511530399
292,1.0,2.0,ovo,0.01,poly,0.7733228511530399
293,7.0,1.0,ovo,0.001,rbf,0.7733228511530399
294,1.0,3.0,ovr,0.001,poly,0.7733228511530399
295,8.0,0.0,ovo,0.001,rbf,0.7733228511530399
296,5.0,0.0,ovr,0.001,sigmoid,0.7732354996505939
297,5.0,0.0,ovo,0.001,sigmoid,0.7732354996505939
298,4.0,1.0,ovr,3.0,linear,0.771051712089448
299,4.0,1.0,ovr,0.01,linear,0.771051712089448
300,4.0,1.0,ovr,0.1,linear,0.771051712089448
301,4.0,1.0,ovr,0.5,linear,0.771051712089448
302,4.0,1.0,ovr,1.0,linear,0.771051712089448
303,4.0,0.0,ovr,0.01,linear,0.771051712089448
304,4.0,0.0,ovo,0.01,linear,0.771051712089448
305,4.0,2.0,ovo,0.001,linear,0.771051712089448
306,4.0,0.0,ovo,0.001,linear,0.771051712089448
307,4.0,2.0,ovo,0.1,linear,0.771051712089448
308,4.0,2.0,ovo,0.5,linear,0.771051712089448
309,4.0,2.0,ovo,1.0,linear,0.771051712089448
310,4.0,2.0,ovo,0.01,linear,0.771051712089448
311,4.0,1.0,ovo,3.0,linear,0.771051712089448
312,4.0,1.0,ovr,0.001,linear,0.771051712089448
313,4.0,1.0,ovo,1.0,linear,0.771051712089448
314,4.0,1.0,ovo,0.5,linear,0.771051712089448
315,4.0,1.0,ovo,0.1,linear,0.771051712089448
316,4.0,0.0,ovo,0.1,linear,0.771051712089448
317,4.0,0.0,ovo,0.5,linear,0.771051712089448
318,4.0,1.0,ovo,0.01,linear,0.771051712089448
319,4.0,0.0,ovo,1.0,linear,0.771051712089448
320,4.0,0.0,ovo,3.0,linear,0.771051712089448
321,4.0,1.0,ovo,0.001,linear,0.771051712089448
322,4.0,0.0,ovr,3.0,linear,0.771051712089448
323,4.0,0.0,ovr,0.001,linear,0.771051712089448
324,4.0,0.0,ovr,1.0,linear,0.771051712089448
325,4.0,0.0,ovr,0.5,linear,0.771051712089448
326,4.0,0.0,ovr,0.1,linear,0.771051712089448
327,4.0,2.0,ovo,3.0,linear,0.771051712089448
328,4.0,2.0,ovr,0.001,linear,0.771051712089448
329,4.0,3.0,ovr,3.0,linear,0.771051712089448
330,4.0,3.0,ovr,0.001,linear,0.771051712089448
331,4.0,3.0,ovo,1.0,linear,0.771051712089448
332,4.0,3.0,ovo,0.5,linear,0.771051712089448
333,4.0,3.0,ovr,0.01,linear,0.771051712089448
334,4.0,3.0,ovo,0.1,linear,0.771051712089448
335,4.0,3.0,ovr,0.1,linear,0.771051712089448
336,4.0,3.0,ovo,0.01,linear,0.771051712089448
337,4.0,3.0,ovr,0.5,linear,0.771051712089448
338,4.0,3.0,ovr,1.0,linear,0.771051712089448
339,4.0,3.0,ovo,3.0,linear,0.771051712089448
340,4.0,3.0,ovo,0.001,linear,0.771051712089448
341,4.0,2.0,ovr,3.0,linear,0.771051712089448
342,4.0,2.0,ovr,1.0,linear,0.771051712089448
343,4.0,2.0,ovr,0.5,linear,0.771051712089448
